========================================================================
TOKENIZATION OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total sentences : 4,962
Total tokens    : 130,002
  management  |  system  |  positive  |  when  |  open  |  next  |  year  |  it  |  will  |  be
  the  |  largest  |  facility  |  in  |  the  |  world  |  to  |  produce  |  diesel  |  fuel
  from  |  renewable  |  feedstock  |  such  |  as  |  palm  |  oil  |  and  |  animal  |  fat
  neutral  |  via  |  the  |  plant  |  the  |  belgian  |  company  |  will  |  feed  |  mw
  of  |  electricity  |  into  |  the  |  distribution  |  grid  |  and  |  will  |  be  |  able
  to  |  deliver  |  up  |  to  |  mw  |  of  |  heat  |  positive  |  viking  |  line
  head  |  jan  |  kaarstroem  |  told  |  tt  |  that  |  his  |  company  |  ferries  |  were
  well  |  equipped  |  to  |  handle  |  ice  |  and  |  that  |  all  |  the  |  passengers
  were  |  safe  |  neutral  |  yara  |  suomi  |  ltd  |  also  |  provides  |  nitrogen  |  chemicals
  and  |  technical  |  nitrates  |  to  |  various  |  sectors  |  of  |  industry  |  as  |  well
  as  |  products  |  used  |  in  |  environmental  |  protection  |  neutral  |  finnish  |  plumbing  |  and
  heating  |  systems  |  supplier  |  uponor  |  announced  |  a  |  cost  |  reduction  |  program  |  in
  august  |  positive  |  finnish  |  plumbing  |  and  |  heating  |  systems  |  supplier  |  uponor  |  corporation
  omx  |  helsinki  |  said  |  on  |  tuesday  |  august  |  that  |  its  |  board  |  of
  directors  |  has  |  authorised  |  the  |  management  |  to  |  proceed  |  with  |  a  |  cost
  reduction  |  program  |  neutral  |  a  |  flurry  |  analytics  |  spokesperson  |  said  |  that  |  as
  it  |  was  |  only  |  measuring  |  windows  |  phone  |  data  |  for  |  some  |  weeks
  the  |  firm  |  the  |  data  |  to  |  make  |  sure  |  the  |  per  |  cent
  rise  |  was  |  not  |  an  |  aberration  |  negative  |  net  |  sales  |  of  |  finnish
  sanoma  |  learning  |  literature  |  of  |  finnish  |  media  |  group  |  sanoma  |  decreased  |  by
  in  |  totalling  |  eur  |  mn  |  down  |  from  |  eur  |  mn  |  in  |  the
  corresponding  |  period  |  in  |  negative  |  employing  |  in  |  finland  |  and  |  abroad  |  the
  unit  |  recorded  |  sales  |  of  |  mln  |  eur  |  with  |  an  |  operating  |  loss
  of  |  mln  |  eur  |  negative  |  jp  |  morgan  |  expects  |  that  |  scala  |  will
  lower  |  nobel  |  biocare  |  growth  |  forecast  |  for  |  from  |  the  |  current  |  guidance
  of  |  pct  |  as  |  well  |  as  |  the  |  operating  |  margin  |  target  |  from
  the  |  current  |  pct  |  negative  |  furthermore  |  sales  |  of  |  new  |  passenger  |  cars
  and  |  light  |  commercial  |  vehicles  |  in  |  the  |  country  |  declined  |  by  |  last
  month  |  negative  |  it  |  services  |  firm  |  tietoenator  |  was  |  bucking  |  the  |  general
  trend  |  holding  |  flat  |  at  |  eur  |  after  |  slipping  |  back  |  from  |  earlier
  gains  |  negative  |  profitability  |  ebit  |  was  |  compared  |  to  |  in  |  negative  |  several
  large  |  stocks  |  tacked  |  lower  |  however  |  positive  |  the  |  company  |  booked  |  new
  orders  |  worth  |  mln  |  eur  |  compared  |  with  |  mln  |  eur  |  in  |  the
  same  |  period  |  a  |  year  |  ago  |  negative  |  sales  |  of  |  beer  |  decreased
  by  |  negative  |  teliasonera  |  underlying  |  results  |  however  |  included  |  mln  |  skr  |  in
  positive  |  hence  |  the  |  adjusted  |  underlying  |  ebitda  |  actually  |  amounts  |  to  |  bln
  skr  |  clearly  |  below  |  expectations  |  analysts  |  said  |  positive  |  aspocomp  |  has  |  repaid
  its  |  interest  |  bearing  |  liability  |  to  |  standard  |  chartered  |  bank  |  and  |  will
  use  |  the  |  rest  |  of  |  the  |  consideration  |  to  |  partially  |  repay  |  its
  interest  |  bearing  |  liabilities  |  in  |  finland  |  and  |  to  |  improve  |  its  |  liquidity
  positive  |  eurochem  |  head  |  of  |  corporate  |  finance  |  alexander  |  gavrilov  |  said  |  i
  am  |  pleased  |  that  |  we  |  have  |  once  |  again  |  confirmed  |  that  |  eurochem
  is  |  able  |  to  |  attract  |  funds  |  at  |  attractive  |  rates  |  positive  |  under
  a  |  memorandum  |  of  |  understanding  |  mou  |  the  |  parties  |  will  |  collaborate  |  in
  preparing  |  and  |  implementing  |  joint  |  projects  |  in  |  the  |  fields  |  of  |  combined
  power  |  and  |  heat  |  generation  |  environmental  |  protection  |  and  |  energy  |  efficient  |  technologies
  positive  |  we  |  are  |  honored  |  to  |  be  |  acknowledged  |  for  |  our  |  commitment
  to  |  the  |  industry  |  especially  |  in  |  asia  |  pacific  |  neutral  |  i  |  thank
  jarmo  |  ukonaho  |  warmly  |  for  |  his  |  contribution  |  and  |  wish  |  him  |  all
  the  |  best  |  in  |  the  |  future  |  challenges  |  positive  |  the  |  seminar  |  introduced
  modern  |  clean  |  technologies  |  and  |  products  |  financial  |  tools  |  and  |  sponsorship  |  programs
  for  |  energy  |  and  |  environment  |  projects  |  as  |  well  |  as  |  the  |  potential
  to  |  develop  |  clean  |  energy  |  in  |  vietnam  |  positive  |  proving  |  that  |  good
  cellphone  |  design  |  is  |  truly  |  a  |  work  |  of  |  art  |  the  |  website
  for  |  the  |  nokia  |  provides  |  a  |  colorful  |  canvas  |  for  |  the  |  expression
  of  |  sentiments  |  positive  |  following  |  last  |  year  |  good  |  profit  |  development  |  we
  have  |  entered  |  the  |  current  |  year  |  in  |  a  |  good  |  position  |  positive
  helsinki  |  thomson  |  financial  |  kemira  |  growhow  |  swung  |  into  |  profit  |  in  |  its
  first  |  quarter  |  earnings  |  on  |  improved  |  sales  |  especially  |  in  |  its  |  fertilizer
  business  |  in  |  europe  |  which  |  is  |  normally  |  stronger  |  during  |  the  |  first
  quarter  |  positive  |  finnish  |  lifting  |  equipment  |  maker  |  kone  |  oyj  |  said  |  on
  october  |  it  |  won  |  an  |  order  |  worth  |  mln  |  euro  |  mln  |  to
  deliver  |  a  |  total  |  of  |  custom  |  designed  |  elevators  |  to  |  norwegian  |  shipbuilder
  aker  |  yards  |  asa  |  positive  |  for  |  the  |  full  |  the  |  company  |  expects
  its  |  net  |  sales  |  and  |  operating  |  result  |  to  |  improve  |  from  |  the
  previous  |  year  |  saying  |  that  |  a  |  positive  |  operating  |  result  |  and  |  its
  amount  |  will  |  depend  |  on  |  the  |  order  |  intake  |  by  |  the  |  end
  of  |  the  |  summer  |  positive  |  it  |  will  |  focus  |  on  |  improving  |  its
  profitability  |  next  |  year  |  by  |  streamlining  |  operations  |  positive  |  md  |  henning  |  bahr
  of  |  stockmann  |  gruppen  |  praises  |  the  |  trend  |  since  |  the  |  chains  |  become
  stronger  |  and  |  their  |  processes  |  more  |  clear  |  positive  |  mr  |  lee  |  said
  he  |  hoped  |  that  |  neste  |  move  |  will  |  pave  |  the  |  way  |  for
  more  |  collaboration  |  projects  |  between  |  our  |  two  |  countries  |  positive  |  the  |  company
  will  |  enhance  |  the  |  gprs  |  capability  |  in  |  the  |  existing  |  idea  |  telecom
  service  |  areas  |  and  |  add  |  more  |  service  |  areas  |  to  |  its  |  network
  positive  |  the  |  company  |  will  |  make  |  its  |  marketing  |  and  |  sales  |  investments
  initiated  |  in  |  even  |  more  |  efficient  |  in  |  positive  |  the  |  core  |  of
  solidium  |  investment  |  strategy  |  is  |  proper  |  value  |  enhancing  |  asset  |  management  |  of
  the  |  current  |  holdings  |  positive  |  the  |  developers  |  of  |  that  |  project  |  predict
  that  |  once  |  it  |  is  |  completed  |  in  |  april  |  skanssi  |  will  |  attract
  some  |  million  |  visitors  |  annually  |  positive  |  the  |  geosolutions  |  technology  |  will  |  leverage
  benefon  |  gps  |  solutions  |  by  |  providing  |  location  |  based  |  search  |  technology  |  a
  communities  |  platform  |  location  |  relevant  |  multimedia  |  content  |  and  |  a  |  new  |  and
  powerful  |  commercial  |  model  |  positive  |  the  |  stock  |  is  |  trading  |  above  |  both
  its  |  maps  |  and  |  the  |  map  |  of  |  is  |  higher  |  than  |  the
  map  |  of  |  a  |  bullish  |  indicator  |  positive  |  those  |  will  |  be  |  partially
  offset  |  by  |  a  |  mln  |  eur  |  gain  |  on  |  the  |  sale  |  of
  its  |  celbi  |  pulp  |  plant  |  in  |  portugal  |  positive  |  with  |  the  |  measures
  suominen  |  corporation  |  aims  |  to  |  ensure  |  the  |  competitiveness  |  of  |  the  |  flexible
  packaging  |  business  |  in  |  the  |  long  |  term  |  positive  |  abb  |  deutsche  |  bank
  upgraded  |  its  |  recommendation  |  on  |  engineering  |  group  |  abb  |  to  |  buy  |  from
  hold  |  positive  |  i  |  am  |  very  |  pleased  |  and  |  proud  |  of  |  our
  performance  |  last  |  year  |  chief  |  executive  |  juha  |  rantanen  |  said  |  in  |  a
  statement  |  positive  |  i  |  pleased  |  to  |  receive  |  the  |  nomination  |  committee  |  request
  and  |  confidence  |  says  |  jon  |  risfelt  |  positive  |  our  |  design  |  team  |  has
  long  |  admired  |  marimekko  |  vivid  |  patterns  |  and  |  colors  |  positive  |  overall  |  we
  pleased  |  with  |  the  |  startup  |  curve  |  and  |  we  |  pleased  |  with  |  the
  quality  |  of  |  the  |  paper  |  stora  |  spokeswoman  |  patricia  |  dietz  |  said  |  tuesday
  positive  |  we  |  are  |  pleased  |  with  |  the  |  efforts  |  of  |  both  |  negotiating
  teams  |  and  |  look  |  forward  |  to  |  a  |  productive  |  four  |  years  |  ahead
  positive  |  we  |  are  |  proud  |  to  |  welcome  |  another  |  distribution  |  facility  |  to
  north  |  mississippi  |  and  |  the  |  region  |  known  |  as  |  the  |  logistics  |  center
  of  |  the  |  united  |  states  |  said  |  gray  |  swoope  |  executive  |  director  |  of
  mda  |  positive  |  we  |  are  |  very  |  pleased  |  to  |  be  |  working  |  with
  fujitsu  |  and  |  ntt  |  docomo  |  to  |  advance  |  the  |  progress  |  of  |  lte
  said  |  juergen  |  walter  |  head  |  of  |  converged  |  core  |  nokia  |  siemens  |  networks
  positive  |  a  |  memorandum  |  of  |  understanding  |  on  |  cooperation  |  between  |  the  |  finnish
  global  |  chemical  |  company  |  kemira  |  and  |  vietnam  |  national  |  chemicals  |  group  |  vinachem
  was  |  signed  |  on  |  this  |  occasion  |  neutral  |  affecto  |  has  |  helped  |  skat
  to  |  set  |  up  |  the  |  platform  |  and  |  has  |  previously  |  delivered  |  several
  business  |  intelligence  |  projects  |  for  |  skat  |  positive  |  also  |  it  |  is  |  bringing
  in  |  the  |  right  |  kind  |  of  |  people  |  to  |  upgrade  |  its  |  human
  resources  |  positive  |  at  |  the  |  seminar  |  a  |  memorandum  |  of  |  understanding  |  on
  was  |  signed  |  between  |  the  |  finnish  |  kemira  |  company  |  and  |  vietnam  |  national
  chemical  |  corporation  |  positive  |  by  |  acquiring  |  rcp  |  we  |  can  |  combine  |  our
  strong  |  knowhow  |  with  |  the  |  expertise  |  of  |  a  |  solid  |  local  |  company
  positive  |  eurochem  |  cfo  |  andrey  |  ilyin  |  said  |  this  |  facility  |  marks  |  another
  important  |  step  |  for  |  eurochem  |  in  |  securing  |  the  |  financing  |  necessary  |  for
  our  |  potash  |  and  |  other  |  strategic  |  projects  |  positive  |  helsinki  |  thomson  |  financial
  kone  |  said  |  it  |  has  |  won  |  four  |  orders  |  in  |  saudi  |  arabia
  united  |  arab  |  emirates  |  and  |  qatar  |  worth  |  mln  |  eur  |  positive  |  adp
  news  |  finnish  |  handling  |  systems  |  provider  |  cargotec  |  oyj  |  hel  |  cgcbv  |  announced
  on  |  friday  |  it  |  won  |  orders  |  worth  |  eur  |  million  |  usd  |  m
  to  |  deliver  |  linkspans  |  to  |  jordan  |  morocco  |  and  |  ireland  |  positive  |  merrill
  lynch  |  analyst  |  campbell  |  morgan  |  upgraded  |  his  |  recommendation  |  on  |  paperlinx  |  from
  neutral  |  to  |  buy  |  in  |  may  |  neutral  |  atul  |  chopra  |  chief  |  operating
  officer  |  president  |  tecnotree  |  elaborated  |  i  |  am  |  eager  |  to  |  see  |  the
  continued  |  success  |  of  |  the  |  former  |  tecnomen  |  bringing  |  lifetree  |  product  |  to
  mena  |  under  |  the  |  tecnotree  |  umbrella  |  positive  |  outotec  |  oyj  |  press  |  release
  february  |  at  |  am  |  outotec  |  has  |  won  |  two  |  large  |  minerals  |  processing
  technology  |  orders  |  from  |  mirabela  |  mineracao  |  do  |  brasil  |  ltda  |  brazil  |  and
  from  |  cumerio  |  med  |  jsco  |  bulgaria  |  positive  |  outotec  |  said  |  it  |  won
  new  |  orders  |  worth  |  mln  |  eur  |  during  |  the  |  quarter  |  compared  |  with
  mln  |  eur  |  a  |  year  |  earlier  |  positive  |  president  |  and  |  ceo  |  mika
  says  |  the  |  positive  |  signs  |  are  |  first  |  and  |  foremost  |  emerging  |  outside
  finland  |  positive  |  raute  |  said  |  it  |  has  |  won  |  an  |  order  |  worth
  around  |  mln  |  eur  |  to  |  supply  |  several  |  plywood  |  production  |  lines  |  to
  mills  |  operated  |  by  |  russian  |  wood  |  products  |  company  |  sveza  |  group  |  positive
  satama  |  earned  |  data  |  management  |  solutions  |  competency  |  with  |  business  |  intelligence  |  specialization
  recentlyvia  |  the  |  acquisition  |  of  |  fimentor  |  oy  |  neutral  |  since  |  inception  |  in
  access  |  stable  |  management  |  team  |  has  |  remained  |  disciplined  |  and  |  focused  |  on
  the  |  proactive  |  screening  |  selection  |  and  |  management  |  of  |  european  |  small  |  to
  funds  |  of  |  funds  |  and  |  mandates  |  positive  |  sysopen  |  digia  |  plc  |  press
  release  |  february  |  ibm  |  finland  |  has  |  rewarded  |  its  |  most  |  distinguished  |  partner
  companies  |  for  |  positive  |  the  |  brokerage  |  said  |  has  |  seen  |  a  |  true
  turning  |  point  |  in  |  european  |  steel  |  base  |  prices  |  with  |  better  |  pricing
  seen  |  carrying  |  through  |  the  |  second  |  quarter  |  of  |  positive  |  the  |  concept
